Inquires_English,Inquires_Tagalog,Established_Response
How to file a complaint against the employer and recruitment agency?,Paano magfile ng reklamo against sa employer at recruitment agency?,"DOLE Order No. 87-08 establishes a clear process for Overseas Filipino Workers (OFWs) to file complaints and seek redress for violations of POEA Rules and Regulations, including the requirement of written complaints, investigations by POLO, and the use of written interrogatories in cases where the respondent cannot appear in person.

DOLE ORDER NO. 87-08

RULES AND REGULATIONS ON OVERSEAS FILIPINO WORKERS ON-SITE COMPLAINTS AND WRITTEN INTERROGATORIES

Pursuant to Governing Board Resolution No. 07, Series of 2007 and the authority of the Secretary under Article V of HcISTE

1. OFW ON-SITE COMPLAINTS FOR VIOLATION OF POEA RULES AND REGULATIONS

A. RECEPTION OF COMPLAINTS AND EVIDENCE. Without prejudice to on-site conciliation procedure, any aggrieved Overseas Filipino Worker (OFW) at the jobsite may execute a complaint in writing and under oath against his/her foreign employer, Philippine recruitment agency and fellow OFWs for violation of POEA Rules and Regulations.

B. VENUE. The complaint shall be filed with the Philippine Overseas Labor Office that has jurisdiction over the worksite of the complainant.

C. CONTENTS. The complaint shall be in affidavit form (subscribed and sworn to before a Philippine Embassy or Consular official duly authorized to administer oaths) and shall contain, at least, the following information:

1. The name and address of the complainant;

2. The name/s and address of the respondent/s;

3. Statement under oath of the facts constituting the alleged violation;

4. The names and address of the complainant's witnesses; and

5. The specific relief sought.

The complaint shall be accompanied by available supporting documents and a certification of non-forum shopping. The POLO is directed to assist on-site complainants in preparing affidavits and in receiving supporting evidence. acHETI

D. ENDORSEMENT OF CASE RECORDS. Upon receipt of the on-site complaint and all the available supporting evidence, the POLO shall endorse the entire case records properly paginated to the POEA for appropriate action. Such endorsement shall contain the following:

1. An endorsement letter with recommendation addressed to the POEA Administrator signed by the POLO officer;

2. Table of contents identifying by pages all the documents contained in the folder.

II. INITIAL ACTION ON THE COMPLAINT

Immediately upon receipt of the records of the case, the POEA shall notify and furnish the respondents with a copy of the complaint-affidavit, supporting affidavits and documentary evidence, with a directive for the respondents to file an answer within the period provided under the pertinent rules.

III. POEA DOCKETED CASES

For cases involving complainants or witnesses working overseas, the POEA Adjudication Office shall employ all reasonable means to ascertain the relevant facts and information. The Adjudication Office shall observe the following guidelines in sending written interrogatories or questions to the on-site complainants and their witnesses, through the POLO:

A. At any stage of the proceedings and before the case is submitted for resolution, the OE Adjudicator may, motu proprio or upon written request, allow written interrogatories or questions to be answered by the on-site complainant and/or his/her witnesses;

B. The OE Adjudicator shall prepare the questions that will be transmitted to the concerned POLO to be propounded to the on-site complainant and/or his/her witnesses. The concerned POLO shall exert all reasonable effort to ensure that the on-site complainant and/or his/her witnesses shall answer the questions truthfully within fifteen calendar (15) days from receipt of the written interrogatories; SCaTAc

C. Should the questions remain unanswered within fifteen (15) days from receipt of the written interrogatories despite diligent efforts, the POLO shall immediately inform the concerned OE Adjudicator who shall proceed with the hearing and resolve the case based on available records and evidence.

D. Upon receipt of the answers to the written interrogatories, the handling OE Adjudicator shall furnish the respondent(s) with a copy thereof, directing them to file their comments within fifteen calendar (15) days from receipt of the notice. Respondents who fail to file their comments within the prescribed period shall be deemed to have waived their right to comment on the written interrogatories."
How to know if the recruitment agency in the Philippines is still active?,Paano malalaman kung ang recruitment agency sa pinas ay active pa?,What is the recruitment agency you're interested in verifying? You can check if they are still active here: https://dmw.gov.ph/licensed-recruitment-agencies 
What is the contact number of the Department of Migrant Workers?,Ano ang contact number ng Department of Migrant Workers?,There are two numbers for the Department of Migrant Workers hotline: 8722 - 11 - 44 and 8722 - 11 - 55.
What is the contact number of OWWA?,Ano ang contact number ng OWWA?,X
What is the contact number of the OWWA office in (location in the Philippines)?,Ano ang contact number ng OWWA office sa Manila?,The Metro Manila / Cellphone number for OWWA is 1348. The Regional number is (02) 1348. The International number is (+632) 1348
What is the contact number of the Migrant Workers' Office in Saudi Arabia?,Ano ang contact number ng Migrant Workers’ Office sa Saudi Arabia?,The contact number of the Migrant Workers' Office in Saudi Arabia is 966 50 285 0944.
What is SENA?,Ano ang SENA?,"SEnA stands for Single Entry Approach. This is a 30-day mandatory conciliation-mediation which seeks to provide a speedy, impartial, inexpensive, and accessible settlement services for unresolved grievances and complaints arising from employer-employee relations."
What are the requirements for SENA for the cases of OFWs?,Anu-ano ang kailangan sa SENA para sa kaso ng mga OFW? (this refers to the procedures and documents/evidences that the OFW needs to prepare),"Participation in the program requires the OFW to: Present valid identification and employment documentation. Provide a detailed account of the grievance, including any relevant communication or agreements with the employer."
What are end-of-service benefits (ESB)?,Ano ang end-of-service benefits (ESB)?,"Who is Eligible for End of Service Benefits (Gratuity) in KSA?
According to Article 84 of the Saudi Labor Law, the Saudi Arabian government grants ESB end of service benefits to all employees working under an employment contract. Furthermore, this applies regardless of our nationality, gender, or position.

Also, there are some exceptions and criteria that affect eligibility and the amount of our end of service Saudi Arabia benefits payment. eligible individuals must follow this set of rules:

Factors Affecting the End of Service Benefits (Gratuity) in Saudi Arabia.
In addition, please note that all of us who have a legal contract in Saudi Arabia are eligible for end of service Saudi Arabia benefits. Although certain factors affect the eligibility for the benefit, let’s see what they are:

Basic salary
Length of service
Change in salary
Legal compliance
Employee factors
The employee factors that we must take into account when obtaining end of service benefits in KSA are as follows:

Performance:
When determining our amount of end of service benefits in KSA, they may consider our performance in some cases. Great performance may lead our bosses to give us additional bonuses at the end of our contract.
Attendance and punctuality:
Also, the company can reward our consistent attendance with a more favorable end of service calculator in Saudi Arabia.
Contract Type:
In addition, our contract type whether permanent, temporary, or long-term, can directly affect the entitlement of end of service benefits in KSA.
State of residence:
Also, our state of residence in Arabia may affect our entitlement to benefits.
Employee Benefits:
These are benefits that may be provided to us by our employer, such as a housing allowance, transportation allowance, or health insurance. These can affect our compensation package and influence the amount of end of service benefits in KSA.

Now that we have explored a little of the causes of us as employees that may be detrimental to us when calculating the amount of our gratitude, let us look at the causes that may be unfavorable to us when terminating our contracts:

Reason for termination
Termination for misconduct:

We will not owe gratitude to someone who terminates us for misconduct. This includes policy violations, illegal acts, or any other malicious behavior.
Voluntary resignation:

We are entitled to gratitude according to the established rules if we resign of our own free will. They will calculate this based on our length of service and base salary.
Retirement:

When we retire, we are entitled to our gratuity. The company calculates our gratuity based on our total length of service and basic salary.
Termination due to company closure:

Our company is entitled to our end of service benefits in KSA if we have a complete closure. The amount will be as per applicable rules.
Force majeure situations
We should know that this refers to the termination of the contract due to major or unforeseen outside events (such as natural disasters, or changes in the law) all employees will be entitled to gratitude."
How to compute end-of-service benefits (ESB)?,Paano mag compute ng end-of-service benefits (ESB)?,"The basic salary impacts our end of service benefits in KSA, and we should keep in mind that we calculate it based on our base salary. In addition, this includes increases. decreases and their legal compliance, let us see how to use an end of service benefits calculator Saudi Arabia:

Calculation of gratitude in case of termination:
According to Article 84 of the Saudi labor law, the employees are entitled to the following end of service benefits in case of termination.
½ of salary during the first 5 years for each year of service.
For each year of service after the first 5 years, full salary.
We need to know that we will not have the privilege of end of service benefits in KSA if they terminate us under Article 80 of the Saudi labor law.
Calculation in case of resignation:
Resignation within the first 2 years: we do not have end of service benefits in KSA.
Resignation between 2 and 5 years: we have the benefit of 1/3 of our ESB award.
Potential adjustments:
Annual increase: If we have an annual increase this could affect when using an end of service benefits calculator Saudi Arabia for our bonus.
Job promotion: In addition, when we move up our base salary generally increases.
Merit: In some cases, these are raises based on our incredible performance.
Reduction of hours: Also, if our working hours are reduced, our base salary will go down and that will affect our end of service benefits in KSA.
Disciplinary Sanctions: Also, if we have poor performance or misconduct, we may be subject to salary reductions.
Demotion: Also, if we are demoted from a position, our salary will go down and this will directly affect us when using an End of service benefits in KSA calculator for our benefits.

Our length of service is another fundamental factor when calculating our benefits. let us take a look at how we can calculate them:

Threshold of our length of service:
We must have worked for at least a minimum of 2 continuous years with the same employer. If we have a shorter duration, they will not give us end of service benefits in KSA.
Specific calculation:
We calculate the amount of gratuity based on our length of service and our basic salary.
The company awards us ½ of the basic salary for each year of our service for the first 5 years.
After 5 years, the company will give us the full salary for each additional year.
A clear example would be an employee who worked for 7 years with a basic salary of 10,000 SAR/month.
ESB for our first 5 years = 5 years x 10,000 / 2 = 25.00 SAR.
For a later period = 2 years x 10,000 = 20,000 SAR.
Total = 45,000 SAR.

In Saudi Arabia, we have two main employment contracts. The fixed employment contract, and open-ended employment contracts. These can affect the eligibility for end of service benefits in KSA:

Fixed employment contract:
These contracts establish a specific duration for us. Additionally, we calculate benefits based on our full-time service. At the end of this contract. We are entitled to receive a bonus based on our length of service (minimum 2 years) and basic salary at the end of this contract.
Indefinite employment contract:
We or our employer decide when these end, as they are not based on having a specific date. Additionally, they calculate the gratuity to us based on all the full-time work and our total basic salary at the time of termination.
Additionally, our employers must follow the procedures outlined in Arabian law fairly and legally to terminate an indefinite employment contract."
